Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
130625.857 01 1.038
130625.857 02 118.556
130625.857 03 0.000
130625.937 01 1.038
130625.938 02 115.988
130625.938 03 0.000
130626.017 01 1.035
130626.017 02 118.556
130626.017 03 0.000
130626.097 01 1.029
130626.097 02 115.560
130626.097 03 0.000
130626.177 01 1.026
130626.177 02 114.276
130626.177 03 -0.152
130626.259 01 1.026
130626.259 02 115.560
130626.259 03 0.000
130626.339 01 1.020
130626.339 02 116.416
130626.339 03 0.000
130626.419 01 1.017
130626.419 02 114.704
130626.419 03 0.000
130626.499 01 1.014
130626.499 02 117.700
130626.499 03 0.152
130626.579 01 1.011
130626.579 02 119.412
130626.579 03 0.000
130626.660 01 1.008
130626.660 02 118.556
130626.660 03 0.000
130626.739 01 1.005
130626.739 02 121.552
130626.739 03 0.152
130626.820 01 1.002
130626.820 02 119.840
130626.820 03 0.000
130626.900 01 0.999
130626.901 02 115.988
130626.901 03 -0.152
130626.981 01 0.996
130626.981 02 118.128
130626.981 03 0.152
130627.061 01 0.993
130627.061 02 120.696
130627.061 03 0.000
130627.141 01 0.990
130627.141 02 116.416
130627.141 03 0.000
130627.221 01 0.984
130627.221 02 117.272
130627.221 03 0.000
130627.302 01 0.984
130627.302 02 118.984
130627.302 03 0.000
130627.382 01 0.978
130627.382 02 116.844
130627.382 03 0.000
130627.462 01 0.975
130627.462 02 115.132
130627.462 03 0.000
130627.542 01 0.972
130627.542 02 118.556
130627.542 03 0.152
130627.622 01 0.969
130627.622 02 117.700
130627.622 03 0.000
130627.703 01 0.966
130627.703 02 116.844
130627.703 03 0.152
130627.783 01 0.963
130627.783 02 118.556
130627.783 03 0.000
130627.863 01 0.960
130627.863 02 116.844
130627.863 03 0.152
130627.943 01 0.957
130627.943 02 117.272
130627.943 03 0.000
130628.023 01 0.954
130628.023 02 118.128
130628.023 03 0.000
130628.104 01 0.951
130628.104 02 116.416
130628.104 03 0.000
130628.184 01 0.948
130628.184 02 116.844
130628.184 03 0.000
130628.264 01 0.945
130628.264 02 120.696
130628.264 03 0.152
130628.344 01 0.942
130628.344 02 119.840
130628.344 03 0.000
130628.424 01 0.936
130628.425 02 119.840
130628.425 03 0.000
130628.505 01 0.936
130628.505 02 127.116
130628.505 03 0.152
130628.585 01 0.933
130628.586 02 127.116
130628.586 03 0.000
130628.666 01 0.927
130628.666 02 126.688
130628.666 03 0.000
130628.746 01 0.927
130628.746 02 134.820
130628.746 03 0.152
130628.827 01 0.924
130628.827 02 136.960
130628.827 03 0.000
130628.907 01 0.918
130628.907 02 124.548
130628.907 03 -0.152
130628.987 01 0.915
130628.987 02 122.836
130628.987 03 -0.152
130629.067 01 0.915
130629.067 02 132.680
130629.067 03 0.152
130629.147 01 0.909
130629.147 02 130.540
130629.148 03 -0.152
130629.227 01 0.906
130629.227 02 135.676
130629.227 03 0.304
130629.307 01 0.906
130629.307 02 146.804
130629.307 03 0.304
130629.388 01 0.900
130629.388 02 138.244
130629.388 03 -0.152
130629.468 01 0.897
130629.468 02 135.248
130629.468 03 0.000
130629.548 01 0.894
130629.549 02 142.952
130629.549 03 0.456
130629.629 01 0.891
130629.629 02 146.804
130629.629 03 -0.152
130629.709 01 0.888
130629.709 02 129.684
130629.709 03 -0.456
130629.790 01 0.885
130629.790 02 132.252
130629.790 03 -0.152
130629.870 01 0.882
130629.870 02 144.236
130629.870 03 0.304
130629.951 01 0.879
130629.951 02 145.520
130629.951 03 -0.152
130630.031 01 0.876
130630.031 02 148.088
130630.031 03 -0.304
130630.111 01 0.873
130630.111 02 156.220
130630.111 03 0.912
130630.192 01 0.870
130630.192 02 161.356
130630.192 03 -0.456
130630.209 07 3
130630.270 01 0.870
130630.270 02 164.780
130630.270 03 0.152
130630.270 05 0
130630.350 01 0.867
130630.350 02 170.344
130630.350 03 0.152
130630.430 01 0.864
130630.431 02 142.524
130630.431 03 -0.152
130630.510 01 0.864
130630.510 02 141.668
130630.511 03 -0.304
130630.591 01 0.864
130630.591 02 140.812
130630.591 03 -0.152
130630.671 01 0.864
130630.671 02 140.384
130630.671 03 -0.152
130630.751 01 0.864
130630.756 02 139.528
130630.756 03 -0.152
130630.831 01 0.864
130630.831 02 138.672
130630.831 03 0.000
130630.911 01 0.864
130630.911 02 138.244
130630.911 03 0.000
130630.991 01 0.864
130630.991 02 137.388
130630.991 03 0.000
130631.071 01 0.864
130631.071 02 136.960
130631.071 03 0.000
130631.151 01 0.864
130631.151 02 134.820
130631.151 03 -0.152
130631.232 01 0.864
130631.232 02 133.964
130631.232 03 -0.152
130631.312 01 0.864
130631.312 02 133.536
130631.312 03 0.000
130631.392 01 0.864
130631.392 02 132.680
130631.392 03 0.000
130631.472 01 0.864
130631.472 02 132.252
130631.472 03 0.000
130631.552 01 0.864
130631.552 02 131.396
130631.552 03 -0.152
130631.633 01 0.864
130631.633 02 130.968
130631.633 03 -0.152
130631.714 01 0.864
130631.714 02 129.684
130631.714 03 0.000
130631.794 01 0.864
130631.794 02 129.256
130631.794 03 -0.152
130631.874 01 0.864
130631.874 02 128.400
130631.874 03 0.000
130631.954 01 0.864
130631.955 02 127.544
130631.955 03 0.000
130632.035 01 0.864
130632.035 02 127.972
130632.035 03 0.000
130632.115 01 0.864
130632.115 02 127.972
130632.115 03 0.000
130632.195 01 0.864
130632.195 02 126.688
130632.195 03 0.000
130632.275 01 0.864
130632.275 02 125.832
130632.275 03 0.000
130632.356 01 0.864
130632.356 02 125.832
130632.356 03 -0.152
130632.436 01 0.864
130632.436 02 125.404
130632.436 03 -0.152
130632.516 01 0.864
