Config file checksum: 97479A50
01 extDist
02 extPres
03 tilt
04 rotaDirDrill
05 feedExtCurr
06 adpeStatus
07 adpeTask
HHMMSS.MS  ID VALUE
082824.128 01 1.092
082824.128 02 2.996
082824.128 03 1.216
082824.208 01 1.089
082824.208 02 2.996
082824.208 03 1.064
082824.288 01 1.089
082824.288 02 2.996
082824.288 03 1.064
082824.369 01 1.092
082824.369 02 2.996
082824.369 03 1.064
082824.448 01 1.089
082824.448 02 3.424
082824.448 03 0.000
082824.528 01 1.089
082824.529 02 2.996
082824.529 03 0.456
082824.610 01 1.089
082824.610 02 2.996
082824.610 03 0.304
082824.689 01 1.089
082824.689 02 3.424
082824.689 03 0.456
082824.769 01 1.089
082824.770 02 3.424
082824.770 03 0.608
082824.849 01 1.092
082824.849 02 2.996
082824.849 03 1.216
082824.929 01 1.089
082824.929 02 3.424
082824.929 03 0.760
082825.010 01 1.089
082825.010 02 3.424
082825.010 03 0.304
082825.090 01 1.089
082825.090 02 3.424
082825.090 03 0.152
082825.170 01 1.089
082825.170 02 2.996
082825.170 03 0.152
082825.250 01 1.089
082825.250 02 2.996
082825.250 03 0.912
082825.331 01 1.089
082825.331 02 3.424
082825.331 03 1.216
082825.411 01 1.089
082825.411 02 2.996
082825.411 03 1.216
082825.491 01 1.089
082825.491 02 2.996
082825.491 03 0.000
082825.571 01 1.089
082825.571 02 3.852
082825.571 03 -0.608
082825.651 01 1.089
082825.651 02 2.568
082825.651 03 0.000
082825.731 01 1.089
082825.731 02 3.424
082825.731 03 1.216
082825.812 01 1.089
082825.812 02 2.996
082825.812 03 1.064
082825.892 01 1.089
082825.892 02 2.568
082825.892 03 1.216
082825.972 01 1.089
082825.972 02 2.568
082825.972 03 0.456
082826.053 01 1.092
082826.053 02 3.424
082826.053 03 0.304
082826.133 01 1.092
082826.133 02 2.996
082826.133 03 -0.912
082826.214 01 1.089
082826.214 02 2.996
082826.214 03 0.152
082826.294 01 1.089
082826.294 02 2.996
082826.294 03 0.152
082826.375 01 1.089
082826.375 02 2.996
082826.375 03 -0.152
